"Grant","Organization Name","Focus Area","Amount","Date"
"Green Monday — Promoting work in China","Green Monday","Farm Animal Welfare","$226,000","11/2016"
"New Incentives — Exit Grant and Immunizations Pilot","New Incentives","Global Health & Development","$368,587","11/2016"
"National Association of Community and Restorative Justice — Restorative Justice Conference","National Association of Community and Restorative Justice","Criminal Justice Reform","$50,000","11/2016"
"Citizens for Juvenile Justice — General Support (2016)","Citizens for Juvenile Justice","Criminal Justice Reform","$65,000","11/2016"
"Electronic Frontier Foundation — Artificial Intelligence Scenarios and Social Impacts","Electronic Frontier Foundation","Potential Risks from Advanced Artificial Intelligence","$199,000","11/2016"
"Humane Society of the United States — Broiler Welfare Corporate Campaigns","Humane Society of the United States","Farm Animal Welfare","$1,000,000","11/2016"
"Mercy For Animals — Broiler Chicken Welfare Corporate Campaigns (2016)","Mercy For Animals","Farm Animal Welfare","$1,000,000","11/2016"
"The Humane League — General Support (2016)","The Humane League","Farm Animal Welfare","$1,000,000","11/2016"
"IDinsight — Embedded GiveWell Team","IDinsight","Global Health & Development","$314,752","11/2016"
"Charity Science: Health — General Support","Charity Science: Health","Global Health & Development","$200,000","11/2016"
"Fórum Nacional de Proteção e Defesa Animal — International Cage-Free Advocacy","Fórum Nacional de Proteção e Defesa Animal","Farm Animal Welfare","$100,000","10/2016"
"Justice Strategies — General Support (2016)","Justice Strategies","Criminal Justice Reform","$200,000","10/2016"
"Youth First Initiative — General Support","Youth First Initiative","Criminal Justice Reform","$250,000","10/2016"
"Essie Justice Group — General Support","Essie Justice Group","Criminal Justice Reform","$600,000","10/2016"
"Color Of Change — Studying Voter Activity in Prosecutorial Elections","Color Of Change","Criminal Justice Reform","$229,100","10/2016"
"New Virginia Majority — Formerly Incarcerated Organizers","New Virginia Majority Education Fund","Criminal Justice Reform","$50,000","10/2016"
"Texas Fair Defense Project — General Support","Texas Fair Defense Project","Criminal Justice Reform","$63,000","10/2016"
"Center for International Security and Cooperation — Megan Palmer's Biosecurity Research (2016)","Center for International Security and Cooperation","Biosecurity and Pandemic Preparedness","$643,415","10/2016"
"Safety and Justice Action Fund — General Support","Safety and Justice Action Fund","Criminal Justice Reform","$300,000","10/2016"
"Johns Hopkins Center for Health Security — Emerging Leaders in Biosecurity Initiative","Johns Hopkins Center for Health Security","Biosecurity and Pandemic Preparedness","$2,744,000","10/2016"
"World Animal Protection — Farm Animal Welfare Advocacy in China","World Animal Protection","Farm Animal Welfare","$544,607","10/2016"
"Just Liberty — General Support","Just Liberty","Criminal Justice Reform","$530,000","10/2016"
"Million Voters Project Action Fund — Support for Proposition 57","Million Voters Project Action Fund","Criminal Justice Reform","$400,000","10/2016"
"Yes on Prop. 57 — General Support","Yes on Prop. 57","Criminal Justice Reform","$200,000","10/2016"
"Center for Popular Democracy Action Fund — Fed Up Campaign (October 2016)","Center for Popular Democracy Action Fund","Macroeconomic Stabilization Policy","$31,500","10/2016"
"Protect the People — Exit Grant","Protect the People","Immigration Policy","$50,000","10/2016"
"Founders Pledge — General Support","Founders Pledge","Other areas","$1,032,947","9/2016"
"WildAid — Reducing Meat Consumption in China (2016)","WildAid","Farm Animal Welfare","$700,000","9/2016"
"Future of Humanity Institute — Biosecurity and Pandemic Preparedness","Future of Humanity Institute","Biosecurity and Pandemic Preparedness","$115,652","9/2016"
"The Good Food Institute — General Support","The Good Food Institute","Farm Animal Welfare","$1,000,000","9/2016"
"University of Cape Town — Geomagnetics Research","University of Cape Town","Global Catastrophic Risks","$493,425","9/2016"
"Brighter Green — Farm Animal Welfare Advocacy in China","Brighter Green","Farm Animal Welfare","$99,360","9/2016"
"CDC Foundation — Malaria Control Research (2016)","CDC Foundation","Scientific Research","$1,214,437","9/2016"
"Faith in Texas — General Support","Faith in Texas","Criminal Justice Reform","$637,000","9/2016"
"Brooklyn Community Bail Fund — General Support","Brooklyn Community Bail Fund","Criminal Justice Reform","$404,800","9/2016"
"Project Peanut Butter — Ready-to-Use Therapeutic Food RCT","Project Peanut Butter","Scientific Research","$724,929","9/2016"
"Color Of Change — Prosecutor Accountability","Color Of Change","Criminal Justice Reform","$678,772","9/2016"
"GiveWell — Top Charity ""Participation"" Grants (2016)","GiveWell","Global Health & Development","$500,000","9/2016"
"Voters Organized to Educate — General Support (2016)","Voters Organized to Educate","Criminal Justice Reform","$222,500","8/2016"
"Katal Center for Health, Equity, and Justice — General Support","Katal Center for Health, Equity, and Justice","Criminal Justice Reform","$64,500","8/2016"
"People for Animals — International Cage-Free Advocacy","People for Animals","Farm Animal Welfare","$89,392","8/2016"
"Color Of Change Education Fund— Prosecutor Accountability","Color Of Change Education Fund","Criminal Justice Reform","$321,228","8/2016"
"Machine Intelligence Research Institute — General Support (2016)","Machine Intelligence Research Institute","Potential Risks from Advanced Artificial Intelligence","$500,000","8/2016"
"Florida Rights Restoration Coalition — General Support","Florida Rights Restoration Coalition","Criminal Justice Reform","$48,000","8/2016"
"UC Berkeley — Center for Human-Compatible AI (2016)","UC Berkeley","Potential Risks from Advanced Artificial Intelligence","$5,555,550","8/2016"
"Voice of the Experienced — General Support","Voice of the Experienced","Criminal Justice Reform","$325,500","8/2016"
"PICO National Network — Live Free Campaign","PICO National Network","Criminal Justice Reform","$1,394,250","8/2016"
"Humane Society International — International Cage-Free Outreach","Humane Society International","Farm Animal Welfare","$1,000,000","8/2016"
"Mercy For Animals — International Cage-Free Advocacy","Mercy For Animals","Farm Animal Welfare","$1,000,000","8/2016"
"Animal Equality — International Cage-Free Advocacy","Animal Equality","Farm Animal Welfare","$500,000","8/2016"
"Blue Ribbon Study Panel on Biodefense — General Support (2016)","Blue Ribbon Study Panel on Biodefense","Biosecurity and Pandemic Preparedness","$1,300,000","8/2016"
"Mijente — Criminal Justice Reform (2016)","Mijente","Criminal Justice Reform","$255,000","8/2016"
"PICO Action Fund — Live Free Campaign","PICO Action Fund","Criminal Justice Reform","$816,188","8/2016"
"Research Institute of Industrial Economics — Genomic Research Methods","Research Institute of Industrial Economics","Scientific Research","$500,000","8/2016"
"Texas Organizing Project — Criminal Justice Reform (2016)","Texas Organizing Project","Criminal Justice Reform","$124,400","8/2016"
"ReFrame Mentorship — General Support","ReFrame Mentorship","Criminal Justice Reform","$37,000","7/2016"
"Vera Institute of Justice — New Orleans User-Funded Justice System","Vera Institute of Justice","Criminal Justice Reform","$100,000","7/2016"
"The Humane League — International Cage-Free Advocacy","The Humane League","Farm Animal Welfare","$1,000,000","7/2016"
"VOCAL-NY Action Fund — General Support","VOCAL-NY Action Fund","Criminal Justice Reform","$40,000","7/2016"
"Foundation for the National Institutes of Health — Working Group on Malaria Gene Drive Testing Path","Foundation for the National Institutes of Health","Scientific Research","$1,228,845","7/2016"
"Center for Applied Rationality — General Support","Center for Applied Rationality","Other areas","$1,035,000","7/2016"
"Ayni Institute — Momentum Training","Ayni Institute","Criminal Justice Reform","$40,000","7/2016"
"Center for Court Innovation — New Thinking about Criminal Justice Responses","Center for Court Innovation","Criminal Justice Reform","$160,000","7/2016"
"Harvard University — Program in Criminal Justice Policy and Management","Harvard University","Criminal Justice Reform","$783,000","7/2016"
"JustLeadershipUSA — General Support","JustLeadershipUSA","Criminal Justice Reform","$40,000","7/2016"
"Legal Services for Prisoners with Children — General Support","Legal Services for Prisoners with Children","Criminal Justice Reform","$70,000","7/2016"
"The Ordinary People Society — General Support","The Ordinary People Society","Criminal Justice Reform","$125,000","7/2016"
"Center on Budget and Policy Priorities — Full Employment Project (2016)","Center on Budget and Policy Priorities","Macroeconomic Stabilization Policy","$425,000","7/2016"
"Vera Institute of Justice — Common Justice","Vera Institute of Justice","Criminal Justice Reform","$8,000","6/2016"
"Prison Policy Initiative — General Support","Prison Policy Initiative","Criminal Justice Reform","$50,000","6/2016"
"Alliance for Safety and Justice — General Support (2016)","Alliance for Safety and Justice","Criminal Justice Reform","$3,000,000","6/2016"
"California Renters Legal Advocacy and Education Fund — General Support","California Renters Legal Advocacy and Education Fund","Land Use Reform","$300,000","6/2016"
"Economic Policy Institute — Macroeconomic Policy Research (2016)","Economic Policy Institute","Macroeconomic Stabilization Policy","$500,000","6/2016"
"George Mason University — Research into Future Artificial Intelligence Scenarios","George Mason University","Potential Risks from Advanced Artificial Intelligence","$277,435","6/2016"
"Roosevelt Institute — Macroeconomic Policy Research","Roosevelt Institute","Macroeconomic Stabilization Policy","$200,000","6/2016"
"Colorado Criminal Justice Reform Coalition — General Support (June 2016)","Colorado Criminal Justice Reform Coalition","Criminal Justice Reform","$61,600","6/2016"
"IDinsight — General Support","IDinsight","Global Health & Development","$1,985,000","6/2016"
"Center for Applied Rationality — SPARC","Center for Applied Rationality","Other areas","$304,000","5/2016"
"American Conservative Union Foundation — Center for Criminal Justice Reform (2016)","American Conservative Union Foundation","Criminal Justice Reform","$200,000","5/2016"
"Promise of Justice Initiative — General Support","Promise of Justice Initiative","Criminal Justice Reform","$81,000","5/2016"
"American University — Forum for Climate Engineering Assessment","Forum for Climate Engineering Assessment","Global Catastrophic Risks","$76,234","5/2016"
"International Refugee Assistance Project — General Support (2016)","International Refugee Assistance Project","Immigration Policy","$700,000","5/2016"
"iGEM — Synthetic Biology Safety and Security (2016)","International Genetically Engineered Machine Foundation","Biosecurity and Pandemic Preparedness","$520,000","5/2016"
"Free Migration Project — Planning Grant","Free Migration Project","Immigration Policy","$24,000","5/2016"
"Innovations for Poverty Action — Mindset Engagement in Cash Transfers","Innovations for Poverty Action","Global Health & Development","$350,000","5/2016"
"Results for Development — Childhood Pneumonia Treatment Scale-Up","Results for Development","Global Health & Development","$6,400,000","5/2016"
"Better Boulder — YIMBY 2016","Better Boulder","Land Use Reform","$37,000","4/2016"
"Accountable Justice Project — General Support","Accountable Justice Project","Criminal Justice Reform","$350,000","4/2016"
"Future of Research — General Support","Future of Research","Scientific Research","$300,000","4/2016"
"Compassion in World Farming USA — General Support (2016)","Compassion in World Farming USA","Farm Animal Welfare","$550,000","4/2016"
"Correctional Association of New York — General Support","Correctional Association of New York","Criminal Justice Reform","$50,000","4/2016"
"University of Southern California — Genomic Research Methods","University of Southern California","Scientific Research","$1,738,500","4/2016"
"Global Animal Partnership — General Support (2016)","Global Animal Partnership","Farm Animal Welfare","$500,000","4/2016"
"Peterson Institute for International Economics — Macroeconomic Stabilization","Peterson Institute for International Economics","Macroeconomic Stabilization Policy","$250,000","4/2016"
"Center for American Progress — Macroeconomic Stabilization","Center for American Progress","Macroeconomic Stabilization Policy","$500,000","3/2016"
"University of Pennsylvania — Philip Tetlock on Forecasting","University of Pennsylvania","Other areas","$500,000","3/2016"
"Ayni Institute — Movement Ecology Training","Ayni Institute","Criminal Justice Reform","$110,000","3/2016"
"Future of Life Institute — General Support","Future of Life Institute","Global Catastrophic Risks","$100,000","3/2016"
"Institute of the Black World — Criminal Justice Reform","Institute of the Black World","Criminal Justice Reform","$50,000","3/2016"
"The Ordinary People Society — Criminal Justice Reform","The Ordinary People Society","Criminal Justice Reform","$50,000","3/2016"
"MIT Synthetic Neurobiology Group — Brain Mapping Research (Ed Boyden) (2016)","MIT Synthetic Neurobiology Group","Scientific Research","$2,970,000","3/2016"
"New Incentives — General Support (2016)","New Incentives","Global Health & Development","$300,000","3/2016"
"Evidence Action — No Lean Season","Evidence Action","Global Health & Development","$812,351","3/2016"
"Vera Institute of Justice — Common Justice","Vera Institute of Justice","Criminal Justice Reform","$200,000","2/2016"
"Seattle for Everyone — General Support","Seattle for Everyone","Land Use Reform","$50,000","2/2016"
"Protect the People — Seasonal Migration from Haiti","Protect the People","Immigration Policy","$550,000","2/2016"
"Center for Global Development — General Support 2016","Center for Global Development","Global Health & Development","$3,000,000","2/2016"
"Mercy For Animals — Corporate Cage-Free Campaigns (2016)","Mercy For Animals","Farm Animal Welfare","$1,000,000","2/2016"
"The Humane Society of the United States — Corporate Cage-Free Campaigns","The Humane Society of the United States","Farm Animal Welfare","$500,000","2/2016"
"Alliance for Safety and Justice — General Support","Alliance for Safety and Justice","Criminal Justice Reform","$1,750,000","2/2016"
"The Humane League — Corporate Cage-Free Campaigns","The Humane League","Farm Animal Welfare","$1,000,000","2/2016"
"Voice of the Ex-Offender — Southern Regional Convening","Voice of the Ex-Offender","Criminal Justice Reform","$40,000","2/2016"
"Vote Safe —  Criminal Justice Reform Policy Advocacy","Vote Safe","Criminal Justice Reform","$250,000","2/2016"
"Princeton University — Rescuing Biomedical Research (2016)","Rescuing Biomedical Research","Scientific Research","$299,112","1/2016"
"GiveDirectly — General Support (January 2016)","GiveDirectly","Global Health & Development","$9,750,000","1/2016"
"Schistosomiasis Control Initiative — General Support (2016)","Schistosomiasis Control Initiative","Global Health & Development","$1,000,000","1/2016"
"Deworm the World Initiative — General Support (January 2016)","Evidence Action","Global Health & Development","$10,790,000","1/2016"
"Against Malaria Foundation — General Support (January 2016)","Against Malaria Foundation","Global Health & Development","$22,845,518","1/2016"
"JustLeadershipUSA — Campaign to Close Rikers","JustLeadershipUSA","Criminal Justice Reform","$900,000","12/2015"
"ImmigrationWorks Foundation — General Support 2016","ImmigrationWorks Foundation","Immigration Policy","$150,000","12/2015"
"Center for Popular Democracy — Fed Up Campaign (2016)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$1,429,000","12/2015"
"Development Media International — General Support (December 2015)","Development Media International","Global Health & Development","$250,000","12/2015"
"Iodine Global Network — General Support (December 2015)","Iodine Global Network","Global Health & Development","$250,000","12/2015"
"Living Goods — General Support (December 2015)","Living Goods","Global Health & Development","$250,000","12/2015"
"MoveOn Civic Action — Syrian Refugee Advocacy","MoveOn.org Civic Action","Immigration Policy","$375,000","10/2015"
"Sightline Institute — Housing and Urban Development","Sightline Institute","Land Use Reform","$400,000","10/2015"
"Global Alliance for Improved Nutrition — General Support (October 2015)","Global Alliance for Improved Nutrition","Global Health & Development","$250,000","10/2015"
"Niskanen Center — Research on Immigration Policy","Niskanen Center","Immigration Policy","$360,000","10/2015"
"Human Impact Partners — Criminal Justice Convening","Human Impact Partners","Criminal Justice Reform","$60,990","10/2015"
"J-PAL — Support for Immunization Incentives RCTs","Abdul Latif Jameel Poverty Action Lab","Global Health & Development","$200,000","9/2015"
"Urban Institute — Land Use Convening","Urban Institute","Land Use Reform","$97,865","9/2015"
"Georgetown University — Public Health and Cannabis Legalization","Georgetown University","U.S. Policy","$250,000","8/2015"
"WaitList Zero — General Support","WaitList Zero","U.S. Policy","$200,000","8/2015"
"ARNOVA — History of Philanthropy Prize","ARNOVA","History of Philanthropy","$2,000","8/2015"
"New York University — Support for a Labor Mobility RCT","New York University","Immigration Policy","$30,000","8/2015"
"Future of Life Institute — Artificial Intelligence Risk Reduction","Future of Life Institute ","Potential Risks from Advanced Artificial Intelligence","$1,186,000","8/2015"
"Solar Radiation Management Governance Initiative — General Support","Solar Radiation Management Governance Initiative","Global Catastrophic Risks","$500,000","7/2015"
"Smart Growth America — Greater Greater Washington Education Project","Smart Growth America","Land Use Reform","$275,000","7/2015"
"GiveDirectly — General Support (June 2015)","GiveDirectly","Global Health & Development","$25,000,000","6/2015"
"Brookings Institution – Work on China and India","Brookings Institution","Other areas","$100,000","6/2015"
"Blue Ribbon Study Panel on Biodefense","Blue Ribbon Study Panel on Biodefense ","Biosecurity and Pandemic Preparedness","$300,000","4/2015"
"New York University — Work on Swift-and-Certain Sanctions","New York University","Criminal Justice Reform","$80,000","4/2015"
"Evidence Action — Seasonal Income Support Project","Evidence Action","Global Health & Development","$170,792","3/2015"
"New Incentives — General Support (2015)","New Incentives","Global Health & Development","$100,000","3/2015"
"Carnegie Endowment for International Peace — Work on India and China","Carnegie Endowment for International Peace","Other areas","$100,000","3/2015"
"Florida State University Project on Accountable Justice — General Support","FSU Project on Accountable Justice","Criminal Justice Reform","$100,000","2/2015"
"ASUC — Effective Altruists of Berkeley ""DeCal"" University Course","Associated Students of the University of California, Berkeley","Other areas","$10,000","2/2015"
"Center for Popular Democracy — Fed Up Campaign (2015)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$750,000","1/2015"
"GiveWell — Top Charity ""Participation"" Grants (2015)","GiveWell","Global Health & Development","$500,000","1/2015"
"GiveDirectly — General Support (December 2014)","GiveDirectly","Global Health & Development","$5,000,000","12/2014"
"Deworm the World Initiative — General Support (December 2014)","Evidence Action","Global Health & Development","$250,000","12/2014"
"Global Alliance for Improved Nutrition — General Support (December 2014)","Global Alliance for Improved Nutrition","Global Health & Development","$250,000","12/2014"
"Iodine Global Network — General Support (December 2014)","Iodine Global Network","Global Health & Development","$250,000","12/2014"
"Development Media International — General Support (December 2014)","Development Media International","Global Health & Development","$250,000","12/2014"
"Against Malaria Foundation — General Support (December 2014)","Against Malaria Foundation","Global Health & Development","$5,000,000","12/2014"
"Living Goods — General Support (December 2014)","Living Goods","Global Health & Development","$250,000","12/2014"
"Schistosomiasis Control Initiative — General Support (2014)","Schistosomiasis Control Initiative","Global Health & Development","$3,000,000","12/2014"
"IDinsight — Scaling Up a High-Potential Development Intervention","IDinsight","Global Health & Development","$34,382","9/2014"
"Center on Budget and Policy Priorities — Full Employment Project (2014)","Center on Budget and Policy Priorities","Macroeconomic Stabilization Policy","$335,000","9/2014"
"Waitlist Zero — Planning Grant","Waitlist Zero","U.S. Policy","$50,000","9/2014"
"Center for Popular Democracy — Federal Reserve Campaign (2014)","Center for Popular Democracy","Macroeconomic Stabilization Policy","$100,000","8/2014"
"RAND Corporation — Research for Vermont","RAND Corporation","U.S. Policy","$103,000","8/2014"
"Rockefeller Archive Center: Workshop on the History of Philanthropy","Rockefeller Archive Center","History of Philanthropy","$25,000","8/2014"
"USAIM — Seasonal Migration from Haiti","U.S. Association for International Migration","Immigration Policy","$1,310,483","7/2014"
"ImmigrationWorks Foundation — General Support","ImmigrationWorks Foundation","Immigration Policy","$285,000","7/2014"
"Alliance for Open Society International: Albanian Renaissance","Alliance for Open Society International","Other areas","$500,000","7/2014"
"Pew Public Safety Performance Project","Pew Charitable Trusts","Criminal Justice Reform","$3,000,000","7/2014"
"Pepperdine University — Washington THC Monitoring","Pepperdine University","U.S. Policy","$150,000","6/2014"
"Cochrane Collaboration — General Support","Cochrane Collaboration","Other areas","$300,000","6/2014"
"GiveWell — Top Charity ""Participation"" Grants (2014)","GiveWell","Global Health & Development","$500,000","5/2014"
"Evidence Action — Planning for Future Programs","Evidence Action","Global Health & Development","$250,000","3/2014"
"Center for Global Development — Labor Mobility Research","Center for Global Development","Immigration Policy","$1,184,720","3/2014"
"Service Delivery Indicators Project","International Development Association","Other areas","$500,000","3/2014"
"New Incentives — General Support (2014)","New Incentives","Global Health & Development","$100,000","1/2014"
"GiveDirectly — General Support (January 2014)","GiveDirectly","Global Health & Development","$7,000,000","1/2014"
"Deworm the World Initiative — General Support (December 2013)","Evidence Action","Global Health & Development","$1,500,000","12/2013"
"Schistosomiasis Control Initiative — General Support (2013)","Schistosomiasis Control Initiative","Global Health & Development","$750,000","12/2013"
"BetaGov","Pepperdine University","Criminal Justice Reform","$200,000","12/2013"
"Research on Crime, Incarceration and Cannabis Regulation","Washington Office on Latin America","Criminal Justice Reform","$245,000","12/2013"
"Center for Global Development — General Support","Center for Global Development","Global Health & Development","$300,000","7/2013"
"Update to Millions Saved Project","Center for Global Development","History of Philanthropy","$50,000","6/2013"
"GiveDirectly — General Support (December 2012)","GiveDirectly","Global Health & Development","$500,000","12/2012"
"Schistosomiasis Control Initiative — General Support (2012)","Schistosomiasis Control Initiative","Global Health & Development","$250,000","12/2012"
"Against Malaria Foundation — General Support (December 2012)","Against Malaria Foundation","Global Health & Development","$1,250,000","12/2012"
"Containment of Artemisinin Resistance in Eastern Myanmar","Population Services International","Other areas","$1,000,000","8/2012"
"US Cochrane Center — General Support","United States Cochrane Center","Other areas","$100,000","7/2012"
